id,num_sold
230130,0.0
230131,849.5460553949902
230132,606.7740807713595
230133,365.44773802422867
230134,426.92362763233257
230135,288.4980550788347
230136,1605.0349481894516
230137,1214.926114281438
230138,732.9361135687589
230139,882.9817364153665
230140,282.33123182007034
230141,1995.529807828447
230142,1499.815047157946
230143,890.1306934520119
230144,1100.1862856148127
230145,145.73690446358412
230146,877.8066015584001
230147,656.8031671513795
230148,384.09251310807934
230149,446.2380872909043
230150,296.49354958362915
230151,1841.689152449001
230152,1395.6726337619252
230153,763.2354108287252
230154,933.9770994958599
230155,360.49084083982507
230156,2309.467743054609
230157,1538.7628653590664
230158,1015.5168313365932
230159,1126.2117309659002
230160,98.9464425996217
230161,626.1499720536368
230162,459.7592830160285
230163,266.9304309267126
230164,320.72897777543164
230165,206.61671865702039
230166,1280.4318780472897
230167,929.5709846743922
230168,619.7679405720304
230169,648.2365052998854
230170,220.22563024126026
230171,1445.0301064762248
230172,1124.9961913772902
230173,612.9849626565345
230174,748.8591279629726
230175,0.0
230176,27.798093891815647
230177,22.971341314469885
230178,13.264186325171451
230179,14.712876154502236
230180,8.030939181665445
230181,57.263140238038645
230182,46.371312761432094
230183,27.228146202102522
230184,30.0859482970796
230185,10.055021409116819
230186,68.25621499273393
230187,56.83674229744827
230188,32.35311784204306
230189,36.369233225437696
230190,211.49404538579574
230191,1296.7118444564
230192,978.8233250367111
230193,634.7934737632772
230194,767.7494400697979
230195,432.7379320183235
230196,2756.1847592480385
230197,1986.2148748628733
230198,1267.5294000014067
230199,1649.3180221137025
230200,484.55811011197864
230201,3193.5721189269766
230202,2363.745966714252
230203,1622.7290375249802
230204,1829.555108640217
230205,193.44453916045688
230206,1151.9191311490636
230207,831.589233451135
230208,473.92302096105504
230209,583.043993527853
230210,396.1773253461617
230211,2352.4565063337786
230212,1854.8237831710835
230213,1085.1327624481587
230214,1217.1882951343584
230215,445.09667607820177
230216,2777.5163467621646
230217,1957.691085267284
230218,1241.4093197672125
230219,1516.1797194762255
230220,0.0
230221,699.7334182555336
230222,502.32621206171643
230223,286.486096858567
230224,346.74786645660106
230225,229.99646959032907
230226,1351.8020959695555
230227,1060.7557472573951
230228,590.8241769105666
230229,757.8476915195263
230230,243.71707512875847
230231,1613.1135220442277
230232,1293.1853538108023
230233,728.9995906412603
230234,916.6355383705023
230235,108.23256920116502
230236,740.9256019108714
230237,525.8608746948047
230238,304.7414504272405
230239,387.3619404508854
230240,225.5784103546302
230241,1436.9980174985476
230242,1115.4212679731727
230243,609.3535728384043
